Kinase,Peptide,LFC
BARK1,ACM1_444_456,-0.07002983323275795
CDK,ACM1_444_456,-0.07002983323275795
CK1,ACM1_444_456,-0.07002983323275795
DAPK,ACM1_444_456,-0.07002983323275795
DMPK,ACM1_444_456,-0.07002983323275795
DYRK,ACM1_444_456,-0.07002983323275795
ERK,ACM1_444_456,-0.07002983323275795
GSK,ACM1_444_456,-0.07002983323275795
IRAK,ACM1_444_456,-0.07002983323275795
JNK,ACM1_444_456,-0.07002983323275795
MLCK,ACM1_444_456,-0.07002983323275795
P38,ACM1_444_456,-0.07002983323275795
PDK1,ACM1_444_456,-0.07002983323275795
PEK,ACM1_444_456,-0.07002983323275795
PHK,ACM1_444_456,-0.07002983323275795
PIM,ACM1_444_456,-0.07002983323275795
PKCA,ACM1_444_456,-0.07002983323275795
RSK,ACM1_444_456,-0.07002983323275795
VRK2,ACM1_444_456,-0.07002983323275795
BARK1,ACM4_456_468,-0.05403226339539526
FRAY,ACM4_456_468,-0.05403226339539526
MELK,ACM4_456_468,-0.05403226339539526
PDHK,ACM4_456_468,-0.05403226339539526
PDK1,ACM4_456_468,-0.05403226339539526
PIM,ACM4_456_468,-0.05403226339539526
PKCA,ACM4_456_468,-0.05403226339539526
PKCH,ACM4_456_468,-0.05403226339539526
VRK2,ACM4_456_468,-0.05403226339539526
BARK1,ADDB_696_708,-0.06422590701187816
CDK,ADDB_696_708,-0.06422590701187816
CK1,ADDB_696_708,-0.06422590701187816
DMPK,ADDB_696_708,-0.06422590701187816
DYRK,ADDB_696_708,-0.06422590701187816
ERK,ADDB_696_708,-0.06422590701187816
GSK,ADDB_696_708,-0.06422590701187816
IKK,ADDB_696_708,-0.06422590701187816
JNK,ADDB_696_708,-0.06422590701187816
MELK,ADDB_696_708,-0.06422590701187816
MST,ADDB_696_708,-0.06422590701187816
NEK,ADDB_696_708,-0.06422590701187816
P38,ADDB_696_708,-0.06422590701187816
PDK1,ADDB_696_708,-0.06422590701187816
PEK,ADDB_696_708,-0.06422590701187816
PKCA,ADDB_696_708,-0.06422590701187816
PKCH,ADDB_696_708,-0.06422590701187816
PLK,ADDB_696_708,-0.06422590701187816
QIK,ADDB_696_708,-0.06422590701187816
RIPK,ADDB_696_708,-0.06422590701187816
STE7,ADDB_696_708,-0.06422590701187816
VRK1,ADDB_696_708,-0.06422590701187816
VRK2,ADDB_696_708,-0.06422590701187816
BARK1,ADDB_706_718,0.09036533344436748
CDK,ADDB_706_718,0.09036533344436748
CHK1,ADDB_706_718,0.09036533344436748
DMPK,ADDB_706_718,0.09036533344436748
DYRK,ADDB_706_718,0.09036533344436748
ERK,ADDB_706_718,0.09036533344436748
JNK,ADDB_706_718,0.09036533344436748
MAPKAPK,ADDB_706_718,0.09036533344436748
MST,ADDB_706_718,0.09036533344436748
NEK,ADDB_706_718,0.09036533344436748
P38,ADDB_706_718,0.09036533344436748
PAKA,ADDB_706_718,0.09036533344436748
PDHK,ADDB_706_718,0.09036533344436748
PDK1,ADDB_706_718,0.09036533344436748
PEK,ADDB_706_718,0.09036533344436748
PHK,ADDB_706_718,0.09036533344436748
PIM,ADDB_706_718,0.09036533344436748
PKCA,ADDB_706_718,0.09036533344436748
PLK,ADDB_706_718,0.09036533344436748
RAD53,ADDB_706_718,0.09036533344436748
RSK,ADDB_706_718,0.09036533344436748
VRK2,ADDB_706_718,0.09036533344436748
AKT,ADRB2_338_350,0.5746308603143792
BARK1,ADRB2_338_350,0.5746308603143792
CAMK1,ADRB2_338_350,0.5746308603143792
CDK,ADRB2_338_350,0.5746308603143792
CHK1,ADRB2_338_350,0.5746308603143792
DMPK,ADRB2_338_350,0.5746308603143792
GRK,ADRB2_338_350,0.5746308603143792
PAKA,ADRB2_338_350,0.5746308603143792
PKA,ADRB2_338_350,0.5746308603143792
PKCA,ADRB2_338_350,0.5746308603143792
PKCI,ADRB2_338_350,0.5746308603143792
PKG,ADRB2_338_350,0.5746308603143792
RAD53,ADRB2_338_350,0.5746308603143792
RSK,ADRB2_338_350,0.5746308603143792
VRK2,ADRB2_338_350,0.5746308603143792
AKT,ANDR_785_797,0.11034493041180848
ATR,ANDR_785_797,0.11034493041180848
BARK1,ANDR_785_797,0.11034493041180848
DMPK,ANDR_785_797,0.11034493041180848
PHK,ANDR_785_797,0.11034493041180848
PIM,ANDR_785_797,0.11034493041180848
PKA,ANDR_785_797,0.11034493041180848
PKD,ANDR_785_797,0.11034493041180848
RAF,ANDR_785_797,0.11034493041180848
RSK,ANDR_785_797,0.11034493041180848
VRK2,ANDR_785_797,0.11034493041180848
AKT,ANXA1_209_221,0.28004819590736957
BARK1,ANXA1_209_221,0.28004819590736957
DMPK,ANXA1_209_221,0.28004819590736957
PHK,ANXA1_209_221,0.28004819590736957
PKA,ANXA1_209_221,0.28004819590736957
PKCA,ANXA1_209_221,0.28004819590736957
PKG,ANXA1_209_221,0.28004819590736957
RSK,ANXA1_209_221,0.28004819590736957
VRK2,ANXA1_209_221,0.28004819590736957
AMPK,BAD_112_124,0.6223472560446313
BARK1,BAD_112_124,0.6223472560446313
CK1,BAD_112_124,0.6223472560446313
DMPK,BAD_112_124,0.6223472560446313
FRAY,BAD_112_124,0.6223472560446313
IRAK,BAD_112_124,0.6223472560446313
NEK,BAD_112_124,0.6223472560446313
PAKA,BAD_112_124,0.6223472560446313
PDHK,BAD_112_124,0.6223472560446313
PEK,BAD_112_124,0.6223472560446313
PHK,BAD_112_124,0.6223472560446313
PIM,BAD_112_124,0.6223472560446313
PKA,BAD_112_124,0.6223472560446313
PKCA,BAD_112_124,0.6223472560446313
PKCI,BAD_112_124,0.6223472560446313
PKD,BAD_112_124,0.6223472560446313
PKG,BAD_112_124,0.6223472560446313
QIK,BAD_112_124,0.6223472560446313
RAF,BAD_112_124,0.6223472560446313
RSK,BAD_112_124,0.6223472560446313
STE7,BAD_112_124,0.6223472560446313
VRK2,BAD_112_124,0.6223472560446313
AKT,BAD_69_81,0.1401959928798527
BARK1,BAD_69_81,0.1401959928798527
CDK,BAD_69_81,0.1401959928798527
DMPK,BAD_69_81,0.1401959928798527
ERK,BAD_69_81,0.1401959928798527
MELK,BAD_69_81,0.1401959928798527
MTOR,BAD_69_81,0.1401959928798527
PAKA,BAD_69_81,0.1401959928798527
PAKB,BAD_69_81,0.1401959928798527
PDHK,BAD_69_81,0.1401959928798527
PDK1,BAD_69_81,0.1401959928798527
PEK,BAD_69_81,0.1401959928798527
